지역본부명,사업지구명,블록명,주택형,공급유형명,동번호,단위평형,공급면적,주거전용면적,평면도파일명
부산울산지역본부,부산기장(뉴스테이),A-2,055.9900A,공공분양,0203 0204 0207 0208,55A,78.019,55.99,평면_55A-1210.json
부산울산지역본부,부산기장(뉴스테이),A-2,055.9900B,공공분양,0201 0206,55B,78.019,55.99,평면_55B-1210.json
부산울산지역본부,부산기장(뉴스테이),A-2,055.9900C,공공분양,0201 0202 0203 0204 0205 0206 0207 0208,55C,78.019,55.99,평면_55C-1210.json
부산울산지역본부,부산기장(뉴스테이),A-2,059.9900A,공공분양,0201 0202 0203 0204 0205 0206 0207 0208,59A,83.5928,59.99,평면_59A-1210.json
부산울산지역본부,부산기장(뉴스테이),A-2,059.9900B,공공분양,0201 0203 0206,59B,83.5928,59.99,평면_59B-1210.json
부산울산지역본부,부산만덕5(06 주환1),1,059.9800A,공공분양,0105 0106 0107 0108 0112 0113,59A,85.2049,59.98,01.59A-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,059.9900B,공공분양,0107 0108 0113,59B,85.2192,59.99,02.59B-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,059.8100C,공공분양,0105 0106 0112,59C,84.9635,59.81,03.59C-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,074.8500A,공공분양,0101 0102 0114,74A,101.3893,74.85,04.74A-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,074.9800B,공공분양,102,74B,101.5654,74.98,05.74B-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,074.8100C,공공분양,0105 0106 0107 0108 0112,74C,105.9471,74.81,08.74C-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,074.9500D,공공분양,107,74D,106.1454,74.95,09.74D-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,074.4000E,공공분양,0105 0112,74E,105.3664,74.4,10.74E-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,084.9500A,공공분양,0103 0104 0109 0110 0111,84A,110.7614,84.95,06.84A-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,084.8200B,공공분양,103,84B,110.5919,84.82,07.84B-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,114.9200A,공공분양,0103 0104 0109 0110 0111,114A,149.8719,114.92,11.114A-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),1,114.4000B,공공분양,103,114B,149.1937,114.4,12.114B-평면-01.json
부산울산지역본부,부산만덕5(06 주환1),2,059.9600A,공공분양,211,59A(2BL),80.4439,59.96,59A.json
부산울산지역본부,부산만덕5(06 주환1),2,059.9100B,공공분양,211,59B(2BL),81.643,59.91,59B.json
부산울산지역본부,부산만덕5(06 주환1),2,74.93,공공분양,201,74(2BL),99.8797,74.93,74.json
부산울산지역본부,부산만덕5(06 주환1),2,084.9400A,공공분양,0201 0202 0203 0204 0208 0209 0210,84A(2BL),113.0353,84.94,확장84A.json
부산울산지역본부,부산만덕5(06 주환1),2,084.9200B,공공분양,0201 0202 0203 0204 0208 0209 0210,84B(2BL),114.6962,84.92,확장84B.json
부산울산지역본부,부산만덕5(06 주환1),2,039.7393A,공공임대(10년),206,39(2BL),60.5221,39.7393,39.json
부산울산지역본부,부산만덕5(06 주환1),2,051.5837A,공공임대(10년),0205 0206 0207,51(만덕2BL),78.1818,51.5837,51.json
부산울산지역본부,부산명지,B1,074.6200A,공공분양,0101 0102 0103 0104 0105 0106 0107 0108 0109 0110 0111,74A1,102.1154,74.62,(평면)부산명지B-174A1-0514.json
부산울산지역본부,부산명지,B1,074.8000B,공공분양,0102 0104 0107 0108 0109 0111,74B,102.3617,74.8,(평면)부산명지B-174B-0514.json
부산울산지역본부,부산명지,B1,074.6200C,공공분양,0101 0102 0103 0104 0107 0108 0109 0110 0111,74A2,102.1154,74.62,(평면)부산명지B-174A2-0516.json
부산울산지역본부,부산명지,B1,084.6100A,공공분양,0107 0108 0109 0111,84A1,115.7864,84.61,(평면)부산명지B-184A1-0520.json
부산울산지역본부,부산명지,B1,084.5600B,공공분양,0101 0103 0105 0106 0110,84B,115.718,84.56,(평면)부산명지B-184B-0516.json
부산울산지역본부,부산명지,B1,084.6100C,공공분양,0101 0103 0105 0106 0110,84A2,115.7864,84.61,(평면)부산명지B-184A2-0520.json
부산울산지역본부,부산명지B8(공임리츠),B8,074.9000A,공공임대(10년),0801 0802 0803 0804 0805 0806 0807 0808 0809 0810 0811 0812,74A,98.8013,74.9,74A평면.json
부산울산지역본부,부산명지B8(공임리츠),B8,074.8400B,공공임대(10년),0802 0805 0806 0809,74B,98.7221,74.84,74B평면.json
부산울산지역본부,부산명지B8(공임리츠),B8,084.8800A,공공임대(10년),0803 0804 0807 0808,84A,111.966,84.88,84A평면.json
부산울산지역본부,부산전포(06 주1),1,25.64,공공분양,103,25형(측중간세대),37.5646,25.64,(평면)전포지구-오피스25-1112.json
부산울산지역본부,부산전포(06 주1),1,37.68,공공분양,103,37형(중간세대),54.5119,37.68,(평면)전포지구-오피스37-1112.json
부산울산지역본부,부산전포(06 주1),1,45.59,공공분양,103,45형(중간세대),64.4824,45.59,(평면)전포지구-오피스45-1112.json
부산울산지역본부,부산전포(06 주1),1,56.36,공공분양,103,56형(중간세대),80.4151,56.36,(평면)전포지구-오피스56-1112.json
부산울산지역본부,울산송정B-3(공임리츠),B-3,084.9700A,공공임대(10년),0301 0302 0303,84A1,106.5841,84.97,(평면)울산송정84-A-1127.json
부산울산지역본부,울산송정B-3(공임리츠),B-3,084.9800B,공공임대(10년),0302 0303,84B1,106.5967,84.98,(평면)울산송정84-B-1127.json
서울지역본부,구리갈매(09 보금4),S1,074.0000H,공공분양,0602 0609 0610,74A,102.1182,74.95,평면도74A-0530.json
서울지역본부,구리갈매(09 보금4),S1,084.0000H,공공분양,0601 0603 0604 0605 0606 0607 0608,84A,115.7567,84.96,평면도84A-0530.json
서울지역본부,구리갈매(09 보금4),S1,059.0000H,공공임대(10년),0601 0602 0603 0604 0606 0607 0608 0609,59A,81.7218,59.98,평면도59A-0530.json
서울지역본부,남양주별내A-25BL,A-25,046.0000A,공공분양,1701 1702,46A,66.9609,46.78,46A.json
서울지역본부,남양주별내A-25BL,A-25,046.0000B,공공분양,1702,46B,67.2615,46.99,46B.json
서울지역본부,남양주별내A-25BL,A-25,055.0000A,공공분양,1701 1702 1705,55A,79.7433,55.71,55A.json
서울지역본부,남양주별내A-25BL,A-25,055.0000B,공공분양,1701 1702 1705,55B,79.6431,55.64,55B.json
서울지역본부,서울수서KTX(행복),A3,046.9500A,공공분양,301,46A,72.7892,46.95,평면도_46A.json
서울지역본부,서울수서KTX(행복),A3,046.9900B,공공분양,301,46B,72.8512,46.99,평면도_46B.json
서울지역본부,서울수서KTX(행복),A3,055.9700A,공공분양,0303 0305 0307,55A,86.7734,55.97,평면도_55A.json
서울지역본부,서울수서KTX(행복),A3,055.9700B,공공분양,0302 0304 0306 0308,55B,86.7734,55.97,평면도_55B.json
서울지역본부,서울수서KTX(행복),A3,055.7700C,공공분양,0302 0304 0306 0308,55C,86.4634,55.77,평면도_55C.json
서울지역본부,서울양원,S2,046.0000A,공공분양,204,46AL,66.8367,46.89,평면_46A.json
서울지역본부,서울양원,S2,055.0000A,공공분양,204,55AL,79.7508,55.95,평면_55A.json
서울지역본부,서울양원,S2,055.0000B,공공분양,204,55BL,79.537,55.8,평면_55B.json
서울지역본부,양주옥정 A-20(2) (공임리츠),A-20(2),074.9600A,공공임대(10년),2022 2024,74A,95.8579,74.96,74A.json
서울지역본부,양주옥정 A-20(2) (공임리츠),A-20(2),074.9900A,공공임대(10년),2028,74AH,95.8963,74.99,74AH.json
서울지역본부,양주옥정 A-20(2) (공임리츠),A-20(2),084.9800A,공공임대(10년),2021 2022 2025 2027 2029,84A,108.6714,84.98,84A.json
서울지역본부,양주옥정 A-20(2) (공임리츠),A-20(2),084.9600A,공공임대(10년),2023 2026 2028,84AH,108.6458,84.96,84AH.json
서울지역본부,양주옥정 A-20(2) (공임리츠),A-20(2),084.9300B,공공임대(10년),2022 2024,84B,108.6074,84.93,84B.json
서울지역본부,양주옥정 A-20(2) (공임리츠),A-20(2),084.9900B,공공임대(10년),2023 2026 2028,84BH,108.6841,84.99,84BH.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),059.9700A,공공임대(10년),2038 2039,59A,79.0956,59.97,59A.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),059.8200B,공공임대(10년),2033 2036 2037 2039,59B,78.8977,59.82,59B.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),059.8600B,공공임대(10년),2034,59BH,78.9505,59.86,59BH.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),059.6400C,공공임대(10년),2031 2033 2036 2037 2038 2039,59C,78.6603,59.64,59C.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),059.7800C,공공임대(10년),2034,59CH,78.845,59.78,59CH.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),074.9600A,공공임대(10년),2032 2036 2037 2040,74A,98.8662,74.96,74A.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),074.9900A,공공임대(10년),2034 2035,74AH,98.9057,74.99,74AH.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),084.9300B,공공임대(10년),2038 2040,84B,112.0158,84.93,84B.json
서울지역본부,양주옥정 A-20(3) (공임리츠),A-20(3),084.9900B,공공임대(10년),2034 2035,84BH,112.0949,84.99,84BH.json
서울지역본부,양주옥정A-21(1)(공임리츠),A21-1,074.5500A,공공임대(10년),2104 2105,74A,96.9334,74.55,74A평면도 투시도.json
서울지역본부,양주옥정A-21(1)(공임리츠),A21-1,074.8000B,공공임대(10년),2104 2105,74B,97.2585,74.8,74B평면도투시도.json
서울지역본부,양주옥정A-21(1)(공임리츠),A21-1,074.6500C,공공임대(10년),2104 2105,74C,97.0634,74.65,74C평면도 투시도.json
서울지역본부,양주옥정A-21(1)(공임리츠),A21-1,084.9900A,공공임대(10년),2101 2102 2103,84A,110.508,84.99,84A평면도 투시도.json
서울지역본부,양주옥정A-21(1)(공임리츠),A21-1,084.7400B,공공임대(10년),2101 2102 2103,84B,110.1829,84.74,84B평면도 투시도.json
서울지역본부,양주옥정A-21(1)(공임리츠),A21-1,084.9000C,공공임대(10년),2103,84C,110.391,84.9,84C평면도 투시도.json
서울지역본부,양주옥정A-21(2)(공임리츠),A21-2,074.5500A,공공임대(10년),2111 2112 2113 2114,74A,96.8716,74.55,74A평면도 투시도.json
서울지역본부,양주옥정A-21(2)(공임리츠),A21-2,074.8000B,공공임대(10년),2111 2112 2113 2114,74B,97.1964,74.8,74B평면도투시도.json
서울지역본부,양주옥정A-21(2)(공임리츠),A21-2,074.6500C,공공임대(10년),2111 2112 2113 2114,74C,97.0015,74.65,74C평면도 투시도.json
서울지역본부,양주옥정A-21(2)(공임리츠),A21-2,084.9900A,공공임대(10년),2106 2107 2108 2109 2110,84A,110.4375,84.99,84A평면도 투시도.json
서울지역본부,양주옥정A-21(2)(공임리츠),A21-2,084.7400B,공공임대(10년),2106 2107 2108 2109,84B,110.1126,84.74,84B평면도 투시도.json
서울지역본부,양주옥정A-21(2)(공임리츠),A21-2,084.9000C,공공임대(10년),2106 2107 2108 2109,84C,110.3205,84.9,84C평면도 투시도.json
서울지역본부,위례,A3-3a,051.9800A,공공분양,3102 3103 3104,51,71.776,51.98,51.json
서울지역본부,위례,A3-3a,059.7600A,공공분양,3101 3102 3103 3106,59A,82.5189,59.76,59A.json
서울지역본부,위례,A3-3a,059.9500B,공공분양,3101 3106,59B,82.7813,59.95,59B.json
서울지역본부,위례,A3-3a,059.9200D,공공분양,3103,59D,82.7399,59.92,0559㎡D형평면도.json
서울지역본부,위례,A3-3a,051.9800R,공공임대(10년),3104 3105,51,71.776,51.98,51(공공임대).json
서울지역본부,위례,A3-3a,059.7600R,공공임대(10년),3104 3105,59A,82.5189,59.76,59A(공공임대).json
서울지역본부,위례,A3-3a,059.9500R,공공임대(10년),3104 3105,59B,82.7813,59.95,59B(공공임대).json
서울지역본부,위례,A3-3a,059.7100R,공공임대(10년),3104,59C,82.4499,59.71,59C(공공임대).json
서울지역본부,위례,A3-3b,046.0000A,공공분양,3201 3202 3204 3205 3206,46A,68.5803,46.92,(평면)위례신혼46A-1211.json
서울지역본부,위례,A3-3b,046.0000B,공공분양,3201 3202 3204 3205 3206,46B,68.4634,46.84,(평면)위례신혼46B-1211.json
서울지역본부,위례,A3-3b,055.0000A,공공분양,3201 3202 3204 3205 3206,55A,81.7936,55.96,(평면)위례신혼55A-1214.json
서울지역본부,위례,A3-3b,055.0000B,공공분양,3202 3204 3205,55B,81.8374,55.99,(평면)위례신혼55B-1211.json
서울지역본부,의정부고산 S1(공임리츠),S-1,051.9600A,공공임대(10년),0101 0102 0103,51A,69.8911,51.96,고산S1BL평면도51-0614.json
서울지역본부,의정부고산 S1(공임리츠),S-1,059.9400A,공공임대(10년),0101 0102 0103 0104 0105 0106 0107,59A,80.6249,59.94,의정부고산S1블록59A평면도.json
서울지역본부,의정부고산 S1(공임리츠),S-1,059.9800B,공공임대(10년),0101 0102 0103 0104 0105,59B,80.6787,59.98,고산S1BL평면도59B-0614.json
서울지역본부,의정부고산 S1(공임리츠),S-1,059.9900C,공공임대(10년),0104 0105 0106 0107,59C,80.6922,59.99,고산S1BL평면도59C-0614.json
서울지역본부,의정부고산 S1(공임리츠),S-1,059.9500D,공공임대(10년),0103 0104,59D,80.6384,59.95,고산S1BL평면도59D-0614.json
서울지역본부,의정부고산(08 국민),S6,055.0000A,공공분양,0601 0602 0603,55A1,78.1711,55.99,55A.json
서울지역본부,의정부고산(08 국민),S6,055.0000B,공공분양,0601 0602 0603,55B1,78.1292,55.96,55B.json
서울지역본부,의정부고산(08 국민),S6,055.0000C,공공분양,0607 0608,55C2,77.6127,55.59,55C.json
서울지역본부,의정부고산S-4(공임리츠),S-4,059.9700A,공공임대(10년),0401 0402 0403,59Aa,81.6276,59.97,고산S4BL-59Aa.json
서울지역본부,의정부고산S-4(공임리츠),S-4,059.9800A,공공임대(10년),404,59Ac,81.6412,59.98,고산S4BL-59Ac.json
서울지역본부,의정부고산S-4(공임리츠),S-4,059.9700B,공공임대(10년),0405 0406,59Ab,81.6276,59.97,고산S4BL-59Ab.json
서울지역본부,의정부고산S-4(공임리츠),S-4,059.9800B,공공임대(10년),0401 0402 0403,59B,81.6412,59.98,고산S4BL-59B.json
서울지역본부,의정부고산S-4(공임리츠),S-4,059.9900C,공공임대(10년),0401 0402 0403,59C,81.6548,59.99,고산S4BL-59C.json
서울지역본부,의정부고산S-5(공임리츠),S-5,059.9400A,공공임대(10년),0501 0502 0503 0504 0509 0510 0511 0512,59A,79.7165,59.94,고산S5BL-59A.json
서울지역본부,의정부고산S-5(공임리츠),S-5,059.9800B,공공임대(10년),0501 0502 0503 0504,59B,79.7697,59.98,고산S5BL-59B.json
서울지역본부,의정부고산S-5(공임리츠),S-5,059.9400C,공공임대(10년),0502 0503 0504,59C,79.7165,59.94,고산S5BL-59C.json
서울지역본부,의정부고산S-5(공임리츠),S-5,074.8600A,공공임대(10년),0505 0506 0507 0508,74A,99.5592,74.86,고산S5BL-74A.json
서울지역본부,의정부고산S-5(공임리츠),S-5,074.8900B,공공임대(10년),0505 0506 0507 0508,74B,99.5991,74.89,고산S5BL-74B.json
서울지역본부,의정부고산S-5(공임리츠),S-5,084.4600A,공공임대(10년),0505 0506 0507 0508,84A,112.3267,84.46,고산S5BL-84A.json
서울지역본부,의정부민락(2)B-3(공임리츠),B3BL,074.9900A,공공임대(10년),0901 0902 0903 0904 0905 0906 0907 0908 0909,74A,96.7726,74.99,74A.json
서울지역본부,의정부민락(2)B-3(공임리츠),B3BL,074.9500B,공공임대(10년),0901 0902 0903 0904 0905 0906 0907 0908 0909,74B,96.721,74.95,74B.json
서울지역본부,의정부민락(2)B-3(공임리츠),B3BL,84.75,공공임대(10년),0901 0902 0903 0904 0907,84,109.3677,84.75,84.json
서울지역본부,의정부민락(2)B-9(공임리츠),B-9,074.9900A,공공임대(10년),1201 1202 1203 1204 1208,74A,100.2719,74.99,74A_평면도.json
서울지역본부,의정부민락(2)B-9(공임리츠),B-9,074.9900B,공공임대(10년),1201 1202 1203 1204 1207 1208,74B,100.3019,74.99,74B_평면도.json
서울지역본부,의정부민락(2)B-9(공임리츠),B-9,084.9900A,공공임대(10년),1204 1205 1206 1207,84A,114.6385,84.99,84A(평면도)copy.json
서울지역본부,의정부민락2(05 GB),A-6,051.9100A,공공분양,1901 1902 1903 1904 1905 1908 1909 1910 1911,51A,74.9502,51.91,3.의정부민락2A6블록_51A평면_0419.json
서울지역본부,의정부민락2(05 GB),A-6,059.4800B,공공분양,1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911,59B,85.8801,59.48,3.의정부민락2A6블록_59B평면_0421.json
서울지역본부,의정부민락2(05 GB),A-6,059.9300A,공공분양,1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911,59A,86.5298,59.93,3.의정부민락2A6블록_59A평면_0419.json
서울지역본부,하남감일 A-5(공임리츠),A5,051.0000A,공공임대(10년),0502 0503 0504 0507,51,70.484,51.97,51A평면.json
서울지역본부,하남감일 A-5(공임리츠),A5,059.0000A,공공임대(10년),0505 0508,59A-1,81.3475,59.98,59A-1평면.json
서울지역본부,하남감일 A-5(공임리츠),A5,059.0000B,공공임대(10년),0505 0508,59B-1,81.3068,59.95,59B-1평면.json
서울지역본부,하남감일(10 보금1),A-7,046.9200A,공공분양,0903 0904,46A,66.3487,46.92,46A.json
서울지역본부,하남감일(10 보금1),A-7,046.6800B,공공분양,901,46B,66.0094,46.68,46B.json
서울지역본부,하남감일(10 보금1),A-7,055.4000A,공공분양,0903 0904,55A,78.3402,55.4,55A.json
세종특별본부,행정중심복합도시,2-1M3,059.8700A,공공임대(10년),0907 0908 0909 0910 0911 0912,59A,81.9374,59.87,59ATOP.json
세종특별본부,행정중심복합도시,2-1M3,059.9100B,공공임대(10년),0909 0911,59B,81.9921,59.91,59BTOP.json
세종특별본부,행정중심복합도시,2-1M3,059.9400C,공공임대(10년),905,59C,82.0332,59.94,59CTOP.json
세종특별본부,행정중심복합도시,2-1M3,059.9400D,공공임대(10년),906,59C-1,82.0332,59.94,59C1TOP.json
세종특별본부,행정중심복합도시,2-1M3,074.9200A,공공임대(10년),0904 0913 0914,74A,102.5346,74.92,74ATOP.json
세종특별본부,행정중심복합도시,2-1M3,074.9300B,공공임대(10년),0904 0913 0914,74B,102.5483,74.93,74BTOP.json
세종특별본부,행정중심복합도시,2-1M3,084.8800A,공공임대(10년),0901 0902 0903,84A,116.1658,84.88,84ATOP.json
세종특별본부,행정중심복합도시,2-1M3,084.9400B,공공임대(10년),0901 0902 0903,84B,116.2479,84.94,84BTOP.json
세종특별본부,행정중심복합도시,42M3,055.8800A,공공분양,1001 1002 1003 1004 1005 1006 1007,55A,78.294,55.88,55A.json
세종특별본부,행정중심복합도시,42M3,055.7700B,공공분양,1002 1003 1004 1005 1006 1007,55B,78.1399,55.77,55B.json
인천지역본부,고양지축,A-1,046.0000A,공공분양,0104 0105,46A(사업승인용),68.9848,46.98,46A평면도.json
인천지역본부,고양지축,A-1,046.0000B,공공분양,0103 0105 0106 0107 0108 0109,46B(사업승인용),68.8674,46.9,46B평면도.json
인천지역본부,고양지축,A-1,055.0000A,공공분양,0101 0102 0103 0104 0105 0106 0107 0108 0109,55A(사업승인용),81.8773,55.76,55A평면도.json
인천지역본부,고양향동,A3,059.0000A,공공분양,0301 0302 0303 0307 0308 0309,59A1(SD),84.4947,59.94,(평면)고양항동A3-59A-1019.json
인천지역본부,고양향동,A3,059.0000B,공공분양,0304 0305,59A2(H),84.4947,59.94,(평면)고양항동A3-59A2-1019.json
인천지역본부,고양향동,A3,059.0000C,공공분양,306,59A3(L),84.5088,59.95,(평면)고양항동A3-59A3-1019.json
인천지역본부,고양향동,A3,059.0000D,공공분양,0302 0303 0307 0308 0309,59B1(SD),84.4947,59.94,(평면)고양항동A3-59B-1019.json
인천지역본부,고양향동,A3,059.0000E,공공분양,0304 0305,59B2(H),84.4947,59.94,(평면)고양항동A3-59B2-1019.json
인천지역본부,고양향동,A3,059.0000F,공공분양,0302 0303 0307 0308 0309,59C1(SD),84.537,59.97,(평면)고양항동A3-59C-1019.json
인천지역본부,고양향동,A3,059.0000G,공공분양,0304 0305,59C2(H),84.4665,59.92,(평면)고양항동A3-59C2-1019.json
인천지역본부,고양향동S-1(공임리츠),S1,051.9600A,공공임대(10년),1001 1002 1004 1014 1015,51A,71.2542,51.96,평면-고양S1-51-0621.json
인천지역본부,고양향동S-1(공임리츠),S1,059.9200A,공공임대(10년),1003 1005 1007 1008 1009 1010 1011 1012 1013,59A,82.17,59.92,평면-고양S1-59A-0623.json
인천지역본부,고양향동S-1(공임리츠),S1,059.5900B,공공임대(10년),1003 1007 1008 1009 1010 1011 1012 1013,59B,81.7174,59.59,평면-고양S1-59B-0621.json
인천지역본부,고양향동S-1(공임리츠),S1,074.9000A,공공임대(10년),1005 1006,74A,102.7125,74.9,평면-고양S1-74A-0623.json
인천지역본부,고양향동S-1(공임리츠),S1,074.4900B,공공임대(10년),1006,74B,102.1502,74.49,평면-고양S1-74B-0621.json
인천지역본부,고양향동S-2(공임리츠),S-2,074.4600A,공공임대(10년),0201 0202 0203 0204,74A,96.1011,74.46,평면-고양S2-74A-0623.json
인천지역본부,고양향동S-2(공임리츠),S-2,074.3800B,공공임대(10년),0202 0203,74B,95.9979,74.38,평면-고양S2-74B-0623.json
인천지역본부,고양향동S-2(공임리츠),S-2,084.1500A,공공임대(10년),0201 0203,84A,108.6074,84.15,평면-고양S2-84-0623.json
인천지역본부,김포한강Ac-05(공임리츠),Ac-05,074.9500A-1,공공임대(10년),0501 0502 0503 0504 0505 0506 0507 0508 0509 0511 0512 0514 0515,74A-1,100.7075,74.95,74A1.json
인천지역본부,김포한강Ac-05(공임리츠),Ac-05,074.9500A-2,공공임대(10년),0504 0505 0506 0507 0508 0511 0512 0514 0515,74A-2,100.7075,74.95,74A2.json
인천지역본부,김포한강Ac-05(공임리츠),Ac-05,074.7000B,공공임대(10년),0504 0505 0506 0507 0508 0511 0512 0514 0515,74B,100.3716,74.7,74B.json
인천지역본부,김포한강Ac-05(공임리츠),Ac-05,084.8600A,공공임대(10년),0502 0503 0506 0507 0508 0510 0511 0513 0514,84A,114.0232,84.86,84A.json
인천지역본부,김포한강Ac-1a(공임리츠),1,051.9300H,공공임대(10년),0101 0102 0103 0104,51A,72.3765,51.93,51A_평면도.json
인천지역본부,김포한강Ac-1a(공임리츠),1,059.9100H,공공임대(10년),0101 0102 0103,59A,83.4985,59.91,59A_평면도.json
인천지역본부,시흥목감A-2(공임리츠),A-2,059.8900A,공공임대(10년),0301 0302 0306,59A,81.7758,59.89,평면)시흥목감A-2BL-59A-0923.json
인천지역본부,시흥목감A-2(공임리츠),A-2,059.4500B,공공임대(10년),0303 0304 0305,59B,81.175,59.45,평면)시흥목감A-2BL-59B-0923.json
인천지역본부,시흥목감A-2(공임리츠),A-2,059.9900C,공공임대(10년),0301 0302 0306,59C,81.9123,59.99,평면)시흥목감A-2BL-59C-0930-1-222.json
인천지역본부,시흥목감A-2(공임리츠),A-2,059.5400D,공공임대(10년),0303 0304 0305,59D,81.2979,59.54,평면)시흥목감A-2BL-59D-0930.json
인천지역본부,시흥목감B-3(공임리츠),B-3,074.9100A,공공임대(10년),1003 1005 1006 1008,74A,99.4621,74.91,(평면)시흥목감B-3BL-74A-0418.json
인천지역본부,시흥목감B-3(공임리츠),B-3,074.9100B,공공임대(10년),1004 1007,74B,99.4621,74.91,(평면)시흥목감B-3BL-74B-0414.json
인천지역본부,시흥목감B-3(공임리츠),B-3,084.9000A,공공임대(10년),1002 1004 1007,84A,112.7264,84.9,(평면)시흥목감B-3BL-84A-0418.json
인천지역본부,시흥목감B-3(공임리츠),B-3,084.9200A,공공임대(10년),1010,84A2,112.7529,84.92,(평면)시흥목감B-3BL-84A2-0418.json
인천지역본부,시흥은계S-2(공임리츠),S-2,059.7400A,공공임대(10년),1113 1114,59A,82.6711,59.74,59A-평면도.json
인천지역본부,시흥은계S-2(공임리츠),S-2,059.9200A,공공임대(10년),1101 1102 1108 1109 1111 1112,59AH,82.9202,59.92,59AH-평면도.json
인천지역본부,시흥은계S-2(공임리츠),S-2,059.9800B,공공임대(10년),1101 1102,59BH,83.0032,59.98,59BH-평면도.json
인천지역본부,시흥은계S-2(공임리츠),S-2,059.9200C,공공임대(10년),1101 1102,59CH,82.9202,59.92,59CH-평면도.json
인천지역본부,시흥은계S-2(공임리츠),S-2,074.8500A,공공임대(10년),1103 1104 1105 1106 1107 1108 1109 1110 1112,74AH,103.581,74.85,74AH-평면도.json
인천지역본부,시흥은계S-2(공임리츠),S-2,084.8700A,공공임대(10년),1103 1104 1105 1106 1110,84AH,117.4472,84.87,84AH-평면도.json
인천지역본부,시흥은계S-2(공임리츠),S-2,084.8700B,공공임대(10년),1103 1104 1105 1106 1110,84BH,117.4472,84.87,84BH-평면도.json
인천지역본부,시흥장현 A-10(공임리츠),A-10,051.0000A,공공임대(10년),2402 2403 2404 2405,51A,70.449,51.93,51A.json
인천지역본부,시흥장현 A-10(공임리츠),A-10,059.0000A,공공임대(10년),2401 2402 2403 2404 2405,59A,81.3426,59.96,59A B.json
인천지역본부,시흥장현 A-2(공임리츠),A-2,051.0000A,공공임대(10년),2101 2102 2103 2104 2105 2106 2107,51A,70.2688,51.93,51A.json
인천지역본부,시흥장현 A-2(공임리츠),A-2,059.0000A,공공임대(10년),2101 2102 2103 2104 2105 2106 2107,59A,81.1346,59.96,59A B.json
